                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4542,                 2.9448,                 1.2029,                 1.4613,                0.74371,                0.66667,                0.76568,                0.40882,                0.20163,                0.17117,                0.06514,                0.01022,                 1.7076,                 2.8133,                 1.1649,                 1.8458,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.4558,                 2.9702,                 1.2006,                  1.459,                0.82094,                0.70217,                0.78121,                0.39641,                0.22029,                0.15315,                 0.0553,                 0.0106,                 1.7425,                 2.7355,                 1.2037,                 1.8377,               0.001307,               0.001307,               0.001307
                     37,                 1.4236,                 2.9653,                 1.1516,                 1.4597,                0.84546,                0.75676,                0.81397,                0.48574,                0.19832,                0.14414,                0.04424,                 0.0083,                 1.5708,                 2.7786,                 1.1074,                 1.7169,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.4009,                 2.9197,                 1.1535,                  1.428,                0.76916,                0.74775,                0.80598,                 0.4581,                0.18299,                0.17117,                0.06237,                0.01181,                 1.5896,                 2.6709,                 1.1243,                 1.7528,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.4099,                 2.8883,                 1.1582,                 1.4491,                 0.7869,                0.73191,                 0.8131,                0.44054,                0.19711,                0.16216,                0.06427,                 0.0088,                 1.6244,                  2.721,                 1.1245,                  1.786,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.4079,                 2.9574,                 1.1639,                 1.4133,                0.86358,                0.66667,                0.80435,                0.44983,                0.22817,                0.17117,                0.08878,                0.01574,                 1.5943,                 2.6993,                 1.1064,                 1.7229,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.4091,                  2.921,                 1.1112,                 1.4324,                0.82434,                0.72973,                0.82275,                0.44398,                0.14284,                0.16216,                 0.0521,                 0.0094,                 1.6718,                  2.789,                 1.0896,                 1.8394,               0.001208,               0.001208,               0.001208
                     42,                 1.3696,                 2.9058,                 1.1087,                 1.4195,                0.75501,                 0.7027,                0.79015,                0.46336,                0.23619,                0.18018,                0.07089,                0.01398,                 1.5202,                 2.7262,                 1.1036,                 1.6848,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.3673,                 2.9049,                 1.1049,                 1.4186,                0.77903,                0.76577,                0.81225,                 0.4455,                0.21805,                0.15315,                0.06352,                0.01159,                 1.7113,                 2.8367,                 1.0656,                 1.8312,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.3577,                 2.9069,                 1.0676,                 1.4026,                0.80857,                0.73874,                0.83526,                0.47264,                0.21743,                0.15315,                 0.0503,                0.00863,                 1.5945,                 2.7066,                 1.0202,                 1.7518,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.3786,                 2.9442,                 1.1121,                 1.4222,                0.75825,                0.75676,                0.80831,                0.45892,                0.19293,                0.17117,                0.05652,                0.01046,                 1.6346,                 2.6982,                 1.0846,                 1.8006,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.3736,                  2.878,                 1.0897,                 1.3923,                0.80507,                0.74775,                0.81336,                0.47137,                0.24778,                0.15315,                0.06374,                0.00973,                 1.5661,                 2.8086,                  1.043,                 1.7489,               0.001109,               0.001109,               0.001109
                     47,                 1.3596,                 2.9362,                 1.1113,                 1.4013,                0.86774,                0.71171,                0.81906,                 0.4573,                0.15416,                0.13514,                0.03576,                0.00843,                 1.5362,                  2.681,                  1.069,                 1.7237,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.3344,                 2.8527,                 1.0933,                 1.3919,                0.82279,                0.65766,                0.76959,                0.40959,                0.11927,                 0.0991,                0.02045,                 0.0048,                 1.6725,                 2.8148,                 1.1725,                 1.8615,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.3483,                 2.8473,                 1.1005,                 1.3985,                0.79671,                0.76577,                0.84436,                0.47773,                0.15465,                0.16216,                0.04307,                0.00825,                 1.5792,                 2.7183,                 1.0103,                 1.7266,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.3332,                 2.8733,                  1.033,                 1.3948,                0.84493,                0.73874,                0.85144,                0.47972,                0.25576,                0.15315,                 0.0639,                0.01233,                 1.5483,                 2.6797,                 1.0009,                 1.7051,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.3165,                 2.8408,                 1.0501,                 1.3647,                0.86075,                0.72394,                0.83557,                0.44531,                0.20344,                0.15315,                0.04909,                0.00843,                 1.6671,                 2.7143,                 1.0428,                 1.8137,                0.00101,                0.00101,                0.00101
                     52,                  1.356,                 2.8823,                 1.0727,                  1.411,                0.88339,                 0.7027,                 0.8465,                0.46269,                0.19844,                0.13514,                0.04326,                0.00817,                 1.6584,                 2.7018,                 1.0025,                 1.8278,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.3302,                 2.8754,                 1.0659,                 1.4055,                0.78737,                0.70057,                0.81366,                0.45028,                0.22117,                0.17117,                 0.0592,                 0.0103,                 1.5659,                 2.7527,                 1.0688,                 1.7614,              0.0009704,              0.0009704,              0.0009704
                     54,                   1.33,                 2.8474,                 1.0533,                 1.3837,                0.85712,                0.75662,                0.81597,                0.44879,                0.25103,                0.15315,                0.06354,                0.01152,                 1.6106,                 2.6968,                 1.0864,                 1.7795,              0.0009506,              0.0009506,              0.0009506
                     55,                  1.292,                 2.8027,                0.99013,                 1.3531,                0.87561,                0.74775,                0.82121,                0.45734,                0.19748,                0.18919,                0.06625,                0.00986,                 1.6247,                 2.6525,                 1.0501,                 1.7878,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.2987,                 2.8935,                 1.0108,                 1.3656,                0.72452,                0.68714,                0.75387,                0.41831,                0.23918,                0.12613,                0.04845,                0.01037,                 1.6758,                 2.7309,                  1.116,                 1.8369,               0.000911,               0.000911,               0.000911
                     57,                 1.2689,                 2.8572,                0.98961,                 1.3409,                0.81603,                0.73874,                 0.8208,                0.48519,                0.26926,                0.17117,                0.10191,                0.01767,                 1.5366,                 2.6406,                0.93029,                 1.7384,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.2937,                 2.8446,                 1.0096,                 1.3635,                0.74946,                0.75458,                0.81186,                0.45148,                0.24324,                0.15315,                0.08006,                0.01127,                 1.6063,                 2.7277,                0.99663,                 1.7628,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.2733,                 2.8344,                0.96709,                 1.3523,                0.84966,                0.76375,                0.82945,                0.46796,                0.19352,                0.15349,                0.06064,                0.01151,                 1.5492,                 2.6982,                0.96048,                 1.7271,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.2603,                  2.811,                0.95424,                 1.3416,                0.83126,                0.78378,                0.82942,                0.48091,                0.17086,                0.16216,                0.04483,                0.00971,                 1.5073,                  2.685,                 0.9984,                 1.6728,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.2426,                 2.8395,                0.98706,                 1.3408,                0.77327,                0.79887,                0.82665,                0.44954,                0.22428,                0.20721,                0.08326,                0.01649,                 1.5834,                 2.7184,                   1.01,                 1.7497,               0.000812,               0.000812,               0.000812
                     62,                  1.228,                 2.8617,                0.96255,                 1.3201,                0.83197,                0.77477,                0.84227,                0.49169,                0.28167,                0.18018,                0.10827,                0.01648,                 1.5461,                 2.6689,                0.96872,                 1.7079,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.2623,                 2.7935,                 1.0061,                 1.3315,                0.79808,                0.78338,                0.84246,                0.49299,                0.25461,                0.17117,                0.09606,                0.01452,                   1.49,                 2.6689,                 1.0044,                 1.6609,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.2632,                   2.79,                0.97902,                 1.3619,                0.80744,                0.76577,                0.84996,                0.47729,                0.27763,                0.18919,                0.07661,                0.01531,                 1.5887,                 2.7014,                0.98989,                 1.7343,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.2193,                  2.743,                 0.9824,                 1.3289,                0.91835,                0.81059,                0.87435,                0.48998,                0.20454,                0.18018,                0.06338,                0.01386,                 1.5701,                 2.6845,                0.95642,                 1.7021,              0.0007328,              0.0007328,              0.0007328
